"","A1","B2","C3","D4","E5","F6","G7","H8","I9","J10","K11","L12","M13","N14","O15","P16","Q17","R18","S19","T20","U21","V22","W23","X24","Y25","Z26","NA27","NA28","NA29","NA30","NA31","NA32","NA33","NA34","NA35","NA36","NA37","NA38","NA39","NA40","NA41","NA42","NA43","NA44","NA45","NA46","NA47","NA48","NA49","NA50","NA51","NA52","NA53","NA54","NA55","NA56","NA57","NA58","NA59","NA60","NA61"
"1","P10","Total_Total_f","Total_Total_pct","P10_Automóvil_f","P10_Automóvil_pct","P10_Moto / Motocicleta_f","P10_Moto / Motocicleta_pct","P10_Ambas_f","P10_Ambas_pct","P10_Otro (Camión de carga)_f","P10_Otro (Camión de carga)_pct","P10_No cuenta con ninguno_f","P10_No cuenta con ninguno_pct","F1Genero_Femenino_f","F1Genero_Femenino_pct","F1Genero_Masculino_f","F1Genero_Masculino_pct","NSE_A/B_f","NSE_A/B_pct","NSE_C+_f","NSE_C+_pct","NSE_C_f","NSE_C_pct","NSE_C-_f","NSE_C-_pct","NSE_D+_f","NSE_D+_pct","NSE_D_f","NSE_D_pct","NSE_E_f","NSE_E_pct","Edad_Rango_18 - 24_f","Edad_Rango_18 - 24_pct","Edad_Rango_25 - 34_f","Edad_Rango_25 - 34_pct","Edad_Rango_35 - 44_f","Edad_Rango_35 - 44_pct","Edad_Rango_45 - 55_f","Edad_Rango_45 - 55_pct","Plaza_Ciudad de México_f","Plaza_Ciudad de México_pct","Plaza_Tijuana_f","Plaza_Tijuana_pct","Plaza_Monterrey_f","Plaza_Monterrey_pct","Plaza_Guadalajara_f","Plaza_Guadalajara_pct","Plaza_Puebla_f","Plaza_Puebla_pct","Plaza_Mérida_f","Plaza_Mérida_pct","EdocivilHijos_Casado con hijos_f","EdocivilHijos_Casado con hijos_pct","EdocivilHijos_Casado sin hijos_f","EdocivilHijos_Casado sin hijos_pct","EdocivilHijos_Soltero con Hijos_f","EdocivilHijos_Soltero con Hijos_pct","EdocivilHijos_Soltero sin HIjos_f","EdocivilHijos_Soltero sin HIjos_pct","EdocivilHijos_No contestó_f","EdocivilHijos_No contestó_pct"
"36","25 a 27 años","0","0","0","0","0","NaN","0","NaN","0","NaN","0","NaN","0","0","0","0","0","NaN","0","0","0","0","0","0","0","0","0","0","0","NaN","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"37","28 a 30 años","0","0","0","0","0","NaN","0","NaN","0","NaN","0","NaN","0","0","0","0","0","NaN","0","0","0","0","0","0","0","0","0","0","0","NaN","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"38","Más de 30 años","1","0.1","1","0.1","0","NaN","0","NaN","0","NaN","0","NaN","1","0.3","0","0","0","NaN","0","0","1","0.4","0","0","0","0","0","0","0","NaN","0","0","0","0","0","0","1","0.5","0","0","0","0","0","0","1","0.8","0","0","0","0","0","0","0","0","1","0.8","0","0","0","0"
"39","No sabe","1","0.1","1","0.1","0","NaN","0","NaN","0","NaN","0","NaN","1","0.3","0","0","0","NaN","0","0","1","0.4","0","0","0","0","0","0","0","NaN","0","0","0","0","1","0.5","0","0","0","0","1","0.7","0","0","0","0","0","0","0","0","1","0.3","0","0","0","0","0","0","0","0"
"40","Total","817","100","817","100","0","NaN","0","NaN","0","NaN","0","NaN","354","100","463","100","0","NaN","302","100","262","100","169","100","68","100","16","100","0","NaN","119","100","279","100","222","100","197","100","165","100","137","100","131","100","128","100","131","100","125","100","363","100","64","100","132","100","246","100","12","100"
"41",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"42","P15PrestarAutos","Total_Total_f","Total_Total_pct","P10_Automóvil_f","P10_Automóvil_pct","P10_Moto / Motocicleta_f","P10_Moto / Motocicleta_pct","P10_Ambas_f","P10_Ambas_pct","P10_Otro (Camión de carga)_f","P10_Otro (Camión de carga)_pct","P10_No cuenta con ninguno_f","P10_No cuenta con ninguno_pct","F1Genero_Femenino_f","F1Genero_Femenino_pct","F1Genero_Masculino_f","F1Genero_Masculino_pct","NSE_A/B_f","NSE_A/B_pct","NSE_C+_f","NSE_C+_pct","NSE_C_f","NSE_C_pct","NSE_C-_f","NSE_C-_pct","NSE_D+_f","NSE_D+_pct","NSE_D_f","NSE_D_pct","NSE_E_f","NSE_E_pct","Edad_Rango_18 - 24_f","Edad_Rango_18 - 24_pct","Edad_Rango_25 - 34_f","Edad_Rango_25 - 34_pct","Edad_Rango_35 - 44_f","Edad_Rango_35 - 44_pct","Edad_Rango_45 - 55_f","Edad_Rango_45 - 55_pct","Plaza_Ciudad de México_f","Plaza_Ciudad de México_pct","Plaza_Tijuana_f","Plaza_Tijuana_pct","Plaza_Monterrey_f","Plaza_Monterrey_pct","Plaza_Guadalajara_f","Plaza_Guadalajara_pct","Plaza_Puebla_f","Plaza_Puebla_pct","Plaza_Mérida_f","Plaza_Mérida_pct","EdocivilHijos_Casado con hijos_f","EdocivilHijos_Casado con hijos_pct","EdocivilHijos_Casado sin hijos_f","EdocivilHijos_Casado sin hijos_pct","EdocivilHijos_Soltero con Hijos_f","EdocivilHijos_Soltero con Hijos_pct","EdocivilHijos_Soltero sin HIjos_f","EdocivilHijos_Soltero sin HIjos_pct","EdocivilHijos_No contestó_f","EdocivilHijos_No contestó_pct"
"43","Sí","333","40.8","333","40.8","0","NaN","0","NaN","0","NaN","0","NaN","163","46","170","36.7","0","NaN","117","38.7","99","37.8","79","46.7","29","42.6","9","56.2","0","NaN","56","47.1","118","42.3","83","37.4","76","38.6","59","35.8","76","55.5","41","31.3","62","48.4","43","32.8","52","41.6","178","49","32","50","35","26.5","84","34.1","4","33.3"
"44","No","484","59.2","484","59.2","0","NaN","0","NaN","0","NaN","0","NaN","191","54","293","63.3","0","NaN","185","61.3","163","62.2","90","53.3","39","57.4","7","43.8","0","NaN","63","52.9","161","57.7","139","62.6","121","61.4","106","64.2","61","44.5","90","68.7","66","51.6","88","67.2","73","58.4","185","51","32","50","97","73.5","162","65.9","8","66.7"
"45","Total","817","100","817","100","0","NaN","0","NaN","0","NaN","0","NaN","354","100","463","100","0","NaN","302","100","262","100","169","100","68","100","16","100","0","NaN","119","100","279","100","222","100","197","100","165","100","137","100","131","100","128","100","131","100","125","100","363","100","64","100","132","100","246","100","12","100"
